[2025-07-18 20:50:29] [EasyTrainerLogger] Logger initialized. Writing to log_2.txt and log_current.txt
[2025-07-18 20:50:29] [EasyTrainerInit] Starting initialization
[2025-07-18 20:50:29] [EasyTrainerInit] Performing data dumps and loading to memory.
[2025-07-18 20:50:29] [EasyTrainerWeaponLoader] Loaded 1778 weapons.
[2025-07-18 20:50:30] [EasyTrainerVehicleLoader] Loaded 534 vehicles (Injected 0 new).
[2025-07-18 20:50:30] Silencio (Items.MeleeMod3_Common) | Common | Unknown | itemPart, WeaponMod, MeleeMod, Common
[2025-07-18 20:50:30] Unknown (Items.w_handgun_militech_ticon__mag_std) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Militech Paraline (Items.AdvancedCommonDeck) | Common | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:30] Militech Canto Mk.6 (Items.HauntedCyberdeck_Rare) | Rare | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck, Haunted_Deck
[2025-07-18 20:50:30] Unknown (Items.StrongHolsteredFists) | Unknown | Miscellaneous | base_fists, SkipActivityLog, IgnoreInventory, Quest, Preload, DoNotRegenerateOnPartChange, Cyberware
[2025-07-18 20:50:30] Wilky Laguerre – medical assessment (Items.q303_vdb_baron_state_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Short Circuit (Items.EMPOverloadLvl1Program) | Unknown | Quickhack | itemPart, SoftwareShard, Tier0Shard, HideProgramDuration, Tier1Shard
[2025-07-18 20:50:30] Fleetshot (Items.PRSRMod3_Base_LowTier) | Unknown | Sniper Mod | itemPart, WeaponMod, RangedMod
[2025-07-18 20:50:30] Unknown (Items.loc_ma_hey_spr_103_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.wst_ep1_21_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.AdvancedJenkinsTendonsStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sts_bls_ina_07_shard_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Heal-On-Kill (Items.HealOnKillEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.wst_ep1_hlp_106_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.q304_farida_faceplate_buyers_guide) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_gym_weights_b_dumbbell_small) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.crowd_electric_guitar_b) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI, OnDropFadeoutNoDelay, OnDropFadeoutNoDelay
[2025-07-18 20:50:30] Unknown (Items.sts_cct_cpz_01_shard_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.AdvancedKiroshiOpticsPiercingStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.w_shotgun_constitutional_tactician_base1) | Unknown | Muzzle | itemPart
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se5_19_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_hey_spr_03_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ReedTiconWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_12_dog_tag_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Tier 3 Item Components (Items.RareMaterial1) | Rare | Crafting Material | CraftingPart, HideInBackpackUI
[2025-07-18 20:50:30] Supra-Dermal Weave (Items.MetalCoveredSkin) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Zetatech Berserk (Items.AdvancedBerserkC3MK5Plus) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Berserk
[2025-07-18 20:50:30] Hacked Chip (Items.mq026_conspiracy_loot_cracked) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Silver Wrap Earring (Items.TygerClawsJewellery1) | Unknown | Unknown | Junk, Jewellery, TygerClaws, NoVisuals
[2025-07-18 20:50:30] Blood Pump (Items.BloodPumpEpic) | Epic | Unknown | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Ballistic Coprocessor (Items.AdvancedPowerGripEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.crowd_military_grade_laptop_a) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Memory Boost (Items.AdvancedMemoryBoostRarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.w_special__krausser_authority__mag_stdr) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Unknown (Items.ma_wat_nid_09_onscreen) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Stabilizer (Items.PRSRMod1_Legendary) | Legendary | Sniper Mod | itemPart, WeaponMod, RangedMod, Legendary
[2025-07-18 20:50:30] Tyrosine Injector (Items.AdvancedTyrosineInjectorRarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Microgenerator (Items.AdvancedMicroGeneratorEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.generic_arasaka_bombing) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Arasaka Mk.4 (Items.ArasakaLegendaryMKIV) | Legendary | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:30] NDA (Items.GenericCorporationJunkItem4) | Unknown | Junk | Junk
[2025-07-18 20:50:30] Bloody Knife (Items.GenericGangJunkItem5) | Unknown | Junk | Junk, NoVisuals
[2025-07-18 20:50:30] Unknown (Items.Unit_Test07) | Unknown | Miscellaneous | Weapon, Minigun
[2025-07-18 20:50:30] K.O. (Items.BluntMod1_Common) | Common | Blunt Weapon Mod | itemPart, WeaponMod, MeleeMod, BluntMod, Common
[2025-07-18 20:50:30] Me-thrill (Items.InnerAndOuterChestFabricEnhancer) | Unknown | Armor Mod | itemPart, FabricEnhancer
[2025-07-18 20:50:30] Ballistic Coprocessor (Items.AdvancedPowerGrip_Tutorial_LegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:30] Carapace (Items.AdvancedWeirdTankyPlatingLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.loc_ma_hey_gle_111_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Inductor (Items.ReversePowerInductor) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Smart Link (Items.AdvancedSmartLinkRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se5_15_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.SimpleWeaponMod17) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_pac_cvi_105_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
